district_number,district_name,course_number,course_name,W_F,W_M,B_F,B_M,HL_F,HL_M,A_F,A_M,NH_F,NH_M,AI_F,AI_M,MR_F,MR_M,Total_F,Total_M,Total_enrolled,Total_NW,frac_girls,frac_nonwhite
56,ST. LUCIE,1206310,GEO,220,280,305,355,248,289,13,15,,,,,29,32,817,976,1793,1293,0.455660904,0.721137758
56,ST. LUCIE,1206315,GEO CR,,10,19,23,,14,,,,,,,,,33,49,82,,0.402439024,
56,ST. LUCIE,1206320,GEO HON,239,223,126,102,189,190,22,17,,,,,20,17,600,552,1152,690,0.520833333,0.598958333
56,ST. LUCIE,1206810,IB MYP GEOM,40,51,24,13,28,14,,,,,,,,,100,88,188,97,0.531914894,0.515957447
56,ST. LUCIE,1207300,LIB ARTS MATH 1,196,285,308,367,240,296,,,,,,,22,35,772,990,1762,1281,0.438138479,0.727014756
56,ST. LUCIE,1207310,LIB ARTS MATH 2,93,131,83,102,86,129,,,,,,,15,13,283,382,665,441,0.42556391,0.663157895
56,ST. LUCIE,1209800,IB MATH STUDIES,13,,,,13,,,,,,,,,,37,21,58,,0.637931034,
56,ST. LUCIE,1210300,"PROB, STAT W/APPLS H",40,37,27,20,28,22,,,,,,,,,104,84,188,111,0.553191489,0.590425532
56,ST. LUCIE,1210310,IB STAT/INT DIFF CAL,10,,,,10,,,,,,,,,,28,17,45,,0.622222222,
56,ST. LUCIE,1210320,AP STAT,,,,,,,,,,,,,,,,,11,,,
56,ST. LUCIE,1298310,ADV TOPICS IN MATH,18,18,20,23,24,24,,,,,,,,,65,67,132,96,0.492424242,0.727272727
56,ST. LUCIE,2000010,M/J LIF SCI,,,,,,,,,,,,,,,7,16,23,,0.304347826,
56,ST. LUCIE,2000020,M/J LIF SCI ADV,,,,,,,,,,,,,,,13,12,25,,0.52,
56,ST. LUCIE,2000310,BIO 1,191,293,248,364,202,323,,11,,,,,24,33,670,1028,1698,1214,0.394581861,0.714958775
56,ST. LUCIE,2000315,BIO 1 CR,,15,18,28,,20,,,,,,,,,34,65,99,,0.343434343,
56,ST. LUCIE,2000320,BIO 1 HON,186,175,111,91,163,129,14,12,,,,,20,13,499,423,922,561,0.541214751,0.60845987
56,ST. LUCIE,2000321,AICE BIO 1 AS,,,,,,,,,,,,,,,,,11,,,
56,ST. LUCIE,2000322,PRE-AICE BIO IG,38,21,21,11,27,29,,,,,,,,,94,66,160,101,0.5875,0.63125
56,ST. LUCIE,2000330,BIO 2 HON,,,,,,,,,,,,,,,6,11,17,,0.352941176,
56,ST. LUCIE,2000340,AP BIO,12,,,,,,,,,,,,,,22,13,35,,0.628571429,
56,ST. LUCIE,2000350,ANAT PHYSIO,14,18,22,10,17,,,,,,,,,,58,39,97,65,0.597938144,0.670103093
56,ST. LUCIE,2000360,ANAT PHYSIO HON,80,30,59,23,63,37,,,,,,,,,215,98,313,203,0.686900958,0.6485623
56,ST. LUCIE,2000390,LIMNOLOGY,,,,,,,,,,,,,,,7,11,18,,0.388888889,
56,ST. LUCIE,2000800,FL PRE-IB BIO 1,38,44,30,19,28,22,,,,,,,,,107,91,198,116,0.54040404,0.585858586
56,ST. LUCIE,2000805,IB BIOLOGY 1,21,12,11,,18,,,,,,,,,,57,35,92,59,0.619565217,0.641304348
56,ST. LUCIE,2000810,IB BIOLOGY 2,,,,,,,,,,,,,,,,,,,,
56,ST. LUCIE,2000820,IB BIOLOGY 3,14,,,,13,10,,,,,,,,,42,29,71,,0.591549296,
56,ST. LUCIE,2000850,IB MYP BIOLOGY,44,62,37,16,25,18,,10,,,,,,,117,110,227,121,0.515418502,0.533039648
56,ST. LUCIE,2001310,ERTH/SPA SCI,48,97,27,54,38,52,,,,,,,,10,120,217,337,192,0.356083086,0.569732938
