district_number,district_name,course_number,course_name,W_F,W_M,B_F,B_M,HL_F,HL_M,A_F,A_M,NH_F,NH_M,AI_F,AI_M,MR_F,MR_M,Total_F,Total_M,Total_enrolled,Total_NW,frac_girls,frac_nonwhite
2,BAKER,1204000,M/J INTENS MATH (MC),61,83,21,24,,,,,,,,,,,85,113,198,54,0.429292929,0.272727273
2,BAKER,1205010,M/J GRADE 6 MATH,81,115,14,22,,,,,,,,,,,101,144,245,49,0.412244898,0.2
2,BAKER,1205020,M/J GRADE 6 MATH ADV,63,50,,,,,,,,,,,,,74,57,131,18,0.564885496,0.13740458
2,BAKER,1205040,M/J GRADE 7 MATH,85,103,15,22,,,,,,,,,,,106,131,237,49,0.447257384,0.206751055
2,BAKER,1205050,M/J GRADE 7 MATH ADV,70,62,,,,,,,,,,,,,78,68,146,14,0.534246575,0.095890411
2,BAKER,1205070,M/J GRADE 8 PRE-ALG,107,94,18,17,,,,,,,,,,,129,117,246,45,0.524390244,0.182926829
2,BAKER,1206310,GEO,114,112,17,13,,,,,,,,,,,138,134,272,46,0.507352941,0.169117647
2,BAKER,1206315,GEO CR,,,,,,,,,,,,,,,,,,,,
2,BAKER,1206320,GEO HON,31,48,,,,,,,,,,,,,33,57,90,11,0.366666667,0.122222222
2,BAKER,1207300,LIB ARTS MATH 1,42,56,15,16,,,,,,,,,,,60,77,137,39,0.437956204,0.284671533
2,BAKER,1207310,LIB ARTS MATH 2,53,49,11,10,,,,,,,,,,,64,62,126,24,0.507936508,0.19047619
2,BAKER,2000010,M/J LIF SCI,85,102,14,23,,,,,,,,,,,106,131,237,50,0.447257384,0.210970464
2,BAKER,2000020,M/J LIF SCI ADV,69,64,,,,,,,,,,,,,78,69,147,14,0.530612245,0.095238095
2,BAKER,2000310,BIO 1,98,102,17,18,,,,,,,,,,,120,128,248,48,0.483870968,0.193548387
2,BAKER,2000320,BIO 1 HON,28,32,,,,,,,,,,,,,30,40,70,10,0.428571429,0.142857143
2,BAKER,2001340,ENV SCI,52,74,13,10,,,,,,,,,,,69,89,158,32,0.436708861,0.202531646
2,BAKER,2001380,AP ENV SCI,,17,,,,,,,,,,,,,9,18,27,,0.333333333,
2,BAKER,2002040,M/J COMPRE SCI 1,144,164,20,24,,,,,,,,,,,175,200,375,67,0.466666667,0.178666667
2,BAKER,2002100,M/J COMPRE SCI 3,,,,,,,,,,,,,,,,,,,,
2,BAKER,2002420,INTEG SCI 2,110,111,21,21,,,,,,,,,,,132,143,275,54,0.48,0.196363636
2,BAKER,2003010,M/J PHY SCI,113,101,18,19,,,,,,,,,,,136,126,262,48,0.519083969,0.183206107
2,BAKER,2003020,M/J PHY SCI ADV,59,46,,,,,,,,,,,,,70,48,118,13,0.593220339,0.110169492
2,BAKER,2003310,PHY SCI,,,,,,,,,,,,,,,,,,,,
2,BAKER,2003340,CHEM 1,38,22,,,,,,,,,,,,,45,28,73,13,0.616438356,0.178082192
2,BAKER,2003350,CHEM 1 HON,29,24,,,,,,,,,,,,,32,28,60,7,0.533333333,0.116666667
2,BAKER,2003390,PHYS 1 HON,30,29,,,,,,,,,,,,,33,31,64,5,0.515625,0.078125
3,BAY,1200310,ALG 1,295,349,85,110,32,47,10,11,,,,,35,28,462,549,1011,367,0.456973294,0.363006924
3,BAY,1200320,ALG 1 HON,270,258,26,20,24,12,17,20,,,,,25,24,362,334,696,168,0.520114943,0.24137931
3,BAY,1200330,ALG 2,186,185,40,28,18,21,,,,,,,21,13,268,256,524,153,0.511450382,0.291984733
3,BAY,1200340,ALG 2 HON,155,175,13,,15,,11,10,,,,,19,,214,205,419,89,0.510739857,0.212410501
3,BAY,1200370,ALG 1-A,135,158,76,66,38,27,,,,,,,17,16,270,270,540,247,0.5,0.457407407
3,BAY,1200380,ALG 1-B,123,128,54,62,21,15,,,,,,,,19,209,225,434,183,0.48156682,0.421658986
3,BAY,1200387,FINANCIAL ALGEBRA,,,,,,,,,,,,,,,,,,,,
3,BAY,1200400,INTENS MATH,,,,,,,,,,,,,,,,,10,,,
3,BAY,1200410,MATH COLL SUCCESS,,,,,,,,,,,,,,,,,11,,,
3,BAY,1200700,MATH COLL READINESS,182,213,79,62,23,25,,11,,,,,16,18,311,331,642,247,0.484423676,0.384735202
3,BAY,1201300,MATH ANALYSIS HON,26,25,,,,,,,,,,,,,35,36,71,20,0.492957746,0.281690141
3,BAY,1201315,ANALYSIS OF FUNC HON,41,42,,,,,,,,,,,,,52,49,101,18,0.514851485,0.178217822
3,BAY,1202310,AP CALCULUS AB,30,32,,,,,,,,,,,,,38,43,81,19,0.469135802,0.234567901
3,BAY,1202320,AP CALCULUS BC,13,12,,,,,,,,,,,,,14,14,28,3,0.5,0.107142857
3,BAY,1202340,PRE-CALCULUS HON,15,,,,,,,,,,,,,,15,8,23,,0.652173913,
3,BAY,1202352,AICE MATH 1 AS,,,,,,,,,,,,,,,,,,,,
3,BAY,1202354,AICE MATH&MECH 1 AS,,,,,,,,,,,,,,,3,10,13,,0.230769231,
3,BAY,1202366,AICE MA&ME&PR&ST2 AL,,,,,,,,,,,,,,,,,,,,
3,BAY,1202375,IB PRE-CALCULUS,,10,,,,,,,,,,,,,19,20,39,,0.487179487,
3,BAY,1202810,IB CALCULUS/DESC STA,,,,,,,,,,,,,,,11,13,24,,0.458333333,
3,BAY,1204000,M/J INTENS MATH (MC),530,482,221,227,60,60,12,13,,,,,50,40,878,828,1706,694,0.514654162,0.406799531
3,BAY,1205010,M/J GRADE 6 MATH,447,449,133,139,64,65,,12,,,,,39,48,694,718,1412,516,0.491501416,0.365439093
3,BAY,1205020,M/J GRADE 6 MATH ADV,226,233,19,10,19,15,15,14,,,,,19,17,300,290,590,131,0.508474576,0.222033898
3,BAY,1205030,M/J MATH 1 CAMBSEC 1,,13,,,,,,,,,,,,,16,17,33,,0.484848485,
3,BAY,1205040,M/J GRADE 7 MATH,452,435,124,140,48,49,11,13,,,,,49,37,695,682,1377,490,0.504720407,0.355846042
3,BAY,1205050,M/J GRADE 7 MATH ADV,197,191,17,12,16,16,,,,,,,13,17,249,245,494,106,0.504048583,0.214574899
3,BAY,1205055,M/J MATH 2 CAMBSEC 1,,,,,,,,,,,,,,,,,10,,,
3,BAY,1205070,M/J GRADE 8 PRE-ALG,358,385,114,129,42,54,13,10,,,,,36,38,565,621,1186,443,0.476391231,0.373524452
3,BAY,1206300,INF GEO,26,35,,12,,,,,,,,,,,39,55,94,33,0.414893617,0.35106383
3,BAY,1206310,GEO,422,457,123,130,47,39,,19,,,,,35,39,640,691,1331,452,0.480841473,0.33959429
3,BAY,1206320,GEO HON,206,161,11,11,,19,13,,,,,,12,14,251,213,464,97,0.540948276,0.209051724
3,BAY,1207300,LIB ARTS MATH 1,219,261,74,92,34,38,,,,,,,19,23,355,424,779,299,0.455712452,0.383825417
3,BAY,1207310,LIB ARTS MATH 2,132,127,31,26,16,17,,,,,,,,,189,180,369,110,0.512195122,0.298102981
3,BAY,1209800,IB MATH STUDIES,14,,11,,,,,,,,,,,,36,19,55,,0.654545455,
3,BAY,1209810,PRE-AICE MATH 1 IG,13,13,,,,,,,,,,,,,22,21,43,17,0.511627907,0.395348837
3,BAY,1209820,PRE-AICE MATH 2 IG,22,19,,,,,,,,,,,,,36,22,58,17,0.620689655,0.293103448
3,BAY,1210300,"PROB, STAT W/APPLS H",37,25,,,,,,,,,,,,,43,35,78,16,0.551282051,0.205128205
3,BAY,1210310,IB STAT/INT DIFF CAL,16,,,,,,,,,,,,,,30,7,37,,0.810810811,
3,BAY,1210320,AP STAT,97,72,,,,,,,,,,,,,114,92,206,37,0.553398058,0.17961165
3,BAY,1298310,ADV TOPICS IN MATH,,,,,,,,,,,,,,,,,,,,
3,BAY,2000010,M/J LIF SCI,426,409,123,136,45,46,10,12,,,,,44,32,658,643,1301,466,0.505764796,0.358186011
3,BAY,2000020,M/J LIF SCI ADV,226,236,15,10,15,15,12,13,,,,,17,20,286,295,581,119,0.492254733,0.204819277
3,BAY,2000310,BIO 1,286,315,104,128,39,44,,10,,,,,26,31,464,531,995,394,0.466331658,0.395979899
3,BAY,2000320,BIO 1 HON,287,255,21,,14,16,11,,,,,,21,14,356,298,654,112,0.544342508,0.171253823
3,BAY,2000322,PRE-AICE BIO IG,43,37,,,,,,,,,,,,,68,53,121,41,0.561983471,0.338842975
3,BAY,2000340,AP BIO,59,41,12,,,,,,,,,,10,,85,50,135,35,0.62962963,0.259259259
3,BAY,2000350,ANAT PHYSIO,26,43,24,33,,16,,,,,,,,,70,99,169,100,0.414201183,0.591715976
3,BAY,2000360,ANAT PHYSIO HON,90,48,11,,,,,,,,,,,,117,57,174,36,0.672413793,0.206896552
3,BAY,2000800,FL PRE-IB BIO 1,18,15,,,,,,,,,,,,,30,23,53,20,0.566037736,0.377358491
3,BAY,2000805,IB BIOLOGY 1,14,,11,,,,,,,,,,,,39,9,48,,0.8125,
3,BAY,2000820,IB BIOLOGY 3,21,,,,,,,,,,,,,,36,13,49,,0.734693878,
3,BAY,2001010,M/J ERTH/SPA SCI,441,465,127,133,62,62,10,13,,,,,37,44,679,723,1402,496,0.484308131,0.353780314
3,BAY,2001020,M/J ERTH/SPA SCI ADV,228,214,14,,20,15,12,14,,,,,16,19,291,271,562,120,0.517793594,0.213523132
3,BAY,2001310,ERTH/SPA SCI,120,180,23,29,12,15,,,,,,,,10,161,241,402,102,0.400497512,0.253731343
3,BAY,2001320,ERTH/SPA SCI HON,,,,,,,,,,,,,,,,,,,,
3,BAY,2001330,METEOROLOGY HONORS,,,,,,,,,,,,,,,11,11,22,,0.5,
3,BAY,2001340,ENV SCI,11,13,,,,,,,,,,,,,19,20,39,15,0.487179487,0.384615385
3,BAY,2001380,AP ENV SCI,56,38,,,,,,,,,,,,,65,47,112,18,0.580357143,0.160714286
3,BAY,2002040,M/J COMPRE SCI 1,26,28,,,,,,,,,,,,,40,43,83,29,0.481927711,0.34939759
3,BAY,2002050,M/J COMPRE SCI 1 ADV,12,,,,,,,,,,,,,,20,6,26,,0.769230769,
3,BAY,2002056,M/J SCI 1 CAMB SEC 1,11,16,,,,,,,,,,,,,18,23,41,14,0.43902439,0.341463415
3,BAY,2002070,M/J COMPRE SCI 2,27,20,,,,,,,,,,,,,42,31,73,26,0.575342466,0.356164384
3,BAY,2002080,M/J COMPRE SCI 2 ADV,,,,,,,,,,,,,,,11,3,14,,0.785714286,
3,BAY,2002086,M/J SCI 2 CAMB SEC 1,,12,,,,,,,,,,,,,16,20,36,,0.444444444,
3,BAY,2002100,M/J COMPRE SCI 3,319,342,113,125,44,52,13,12,,,,,35,33,527,568,1095,434,0.481278539,0.396347032
3,BAY,2002110,M/J COMPRE SCI 3 ADV,114,101,,,,,,,,,,,,,144,126,270,55,0.533333333,0.203703704
3,BAY,2002115,M/J SCI 3 CAMB SEC 1,17,,,,,,,,,,,,,,29,16,45,,0.644444444,
3,BAY,2002400,INTEG SCI 1,30,36,30,42,,,,,,,,,10,,81,99,180,114,0.45,0.633333333
3,BAY,2002480,FORC SCI 1,,,,,,,,,,,,,,,,,,,,
3,BAY,2002500,MARINE SCI 1,123,160,32,28,11,18,,,,,,,13,,184,222,406,123,0.45320197,0.302955665
3,BAY,2002510,MARINE SCI 1 HON,28,12,,,,,,,,,,,,,42,17,59,19,0.711864407,0.322033898
3,BAY,2002515,AICE MARINE SCI 1 AS,37,26,,,,,,,,,,,,,53,33,86,23,0.61627907,0.26744186
3,BAY,2002530,MARINE SCI 2 HON,12,,,,,,,,,,,,,,14,7,21,,0.666666667,
3,BAY,2002535,AICE MARINE SCI 2 AL,,,,,,,,,,,,,,,,,15,,,
3,BAY,2003010,M/J PHY SCI,74,73,10,16,,,,,,,,,,,100,112,212,65,0.471698113,0.306603774
3,BAY,2003020,M/J PHY SCI ADV,46,36,,,,,,,,,,,,,62,53,115,33,0.539130435,0.286956522
3,BAY,2003310,PHY SCI,234,325,83,80,42,41,,,,,,,24,27,388,477,865,306,0.448554913,0.353757225
3,BAY,2003320,PHY SCI HON,92,93,,,,,,,,,,,,,115,111,226,41,0.508849558,0.181415929
3,BAY,2003340,CHEM 1,116,124,33,31,13,15,,,,,,,,12,175,188,363,123,0.482093664,0.338842975
3,BAY,2003345,CHEM 1 CR,,,,,,,,,,,,,,,,,,,,
3,BAY,2003350,CHEM 1 HON,245,197,11,,21,19,10,,,,,,14,,303,240,543,101,0.55801105,0.186003683
3,BAY,2003360,CHEM 2 HON,,,,,,,,,,,,,,,,,,,,
3,BAY,2003370,AP CHEM,,,,,,,,,,,,,,,,,15,,,
3,BAY,2003372,PRE-AICE CHEM IG,36,30,14,,,,,,,,,,,,66,38,104,38,0.634615385,0.365384615
3,BAY,2003390,PHYS 1 HON,16,21,,,,,,,,,,,,,18,25,43,6,0.418604651,0.139534884
3,BAY,2003421,AP PHYSICS 1,40,58,,,,,,,,,,,,,57,76,133,35,0.428571429,0.263157895
3,BAY,2003422,AP PHYSICS 2,,,,,,,,,,,,,,,,,,,,
3,BAY,2003431,AICE PHYSICS 1 AS,,10,,,,,,,,,,,,,3,14,17,,0.176470588,
3,BAY,2003432,PRE-AICE PHYSICS IG,14,12,,,,,,,,,,,,,24,16,40,14,0.6,0.35
3,BAY,2003800,FL PRE-IB CHEM 1,25,18,,,,,,,,,,,,,47,28,75,32,0.626666667,0.426666667
4,BRADFORD,1200310,ALG 1,16,13,,,,,,,,,,,,,20,15,35,6,0.571428571,0.171428571
4,BRADFORD,1200315,ALG 1 CR,,,,,,,,,,,,,,,,,,,,
4,BRADFORD,1200320,ALG 1 HON,13,25,,,,,,,,,,,,,22,26,48,10,0.458333333,0.208333333
4,BRADFORD,1200330,ALG 2,14,11,10,,,,,,,,,,,,26,17,43,18,0.604651163,0.418604651
4,BRADFORD,1200340,ALG 2 HON,15,12,,,,,,,,,,,,,21,16,37,10,0.567567568,0.27027027
4,BRADFORD,1200370,ALG 1-A,38,37,20,16,,,,,,,,,,,60,56,116,41,0.517241379,0.353448276
4,BRADFORD,1200380,ALG 1-B,24,34,,,,,,,,,,,,,30,46,76,18,0.394736842,0.236842105
4,BRADFORD,1200400,INTENS MATH,,,,,,,,,,,,,,,,,,,,
4,BRADFORD,1200700,MATH COLL READINESS,33,45,,12,,,,,,,,,,,43,59,102,24,0.421568627,0.235294118
4,BRADFORD,1202340,PRE-CALCULUS HON,,,,,,,,,,,,,,,,,15,,,
4,BRADFORD,1204000,M/J INTENS MATH (MC),36,25,12,11,,,,,,,,,,,51,39,90,29,0.566666667,0.322222222
4,BRADFORD,1205010,M/J GRADE 6 MATH,65,58,19,16,,,,,,,,,,,88,79,167,44,0.526946108,0.263473054
4,BRADFORD,1205020,M/J GRADE 6 MATH ADV,26,19,,,,,,,,,,,,,29,27,56,11,0.517857143,0.196428571
4,BRADFORD,1205040,M/J GRADE 7 MATH,55,58,21,27,,,,,,,,,,,79,92,171,58,0.461988304,0.339181287
4,BRADFORD,1205050,M/J GRADE 7 MATH ADV,22,13,,,,,,,,,,,,,26,21,47,12,0.553191489,0.255319149
4,BRADFORD,1205070,M/J GRADE 8 PRE-ALG,58,51,16,20,,,,,,,,,,,84,76,160,51,0.525,0.31875
4,BRADFORD,1206310,GEO,41,48,14,25,,,,,,,,,,,59,73,132,43,0.446969697,0.325757576
4,BRADFORD,1206320,GEO HON,12,10,,,,,,,,,,,,,17,18,35,13,0.485714286,0.371428571
4,BRADFORD,1207300,LIB ARTS MATH 1,33,48,,,,,,,,,,,,,43,57,100,19,0.43,0.19
4,BRADFORD,2000310,BIO 1,51,70,19,31,,,,,,,,,,,75,105,180,59,0.416666667,0.327777778
4,BRADFORD,2000315,BIO 1 CR,,,,,,,,,,,,,,,,,,,,
4,BRADFORD,2000320,BIO 1 HON,15,14,,,,,,,,,,,,,21,16,37,8,0.567567568,0.216216216
4,BRADFORD,2000350,ANAT PHYSIO,13,12,,,,,,,,,,,,,22,19,41,16,0.536585366,0.390243902
4,BRADFORD,2000360,ANAT PHYSIO HON,,,,,,,,,,,,,,,16,10,26,,0.615384615,
4,BRADFORD,2001310,ERTH/SPA SCI,25,41,,,,,,,,,,,,,32,51,83,17,0.385542169,0.204819277
4,BRADFORD,2001340,ENV SCI,47,58,18,18,,,,,,,,,,,69,79,148,43,0.466216216,0.290540541
4,BRADFORD,2002040,M/J COMPRE SCI 1,92,78,21,20,,,,,,,,,,,118,107,225,55,0.524444444,0.244444444
4,BRADFORD,2002070,M/J COMPRE SCI 2,77,72,23,33,,,,,,,,,,,105,114,219,70,0.479452055,0.319634703
4,BRADFORD,2002100,M/J COMPRE SCI 3,73,79,20,20,,,,,,,,,,,108,105,213,61,0.507042254,0.286384977
4,BRADFORD,2002400,INTEG SCI 1,,,,,,,,,,,,,,,,,,,,
4,BRADFORD,2002405,INTEG SCI 1 CR,,,,,,,,,,,,,,,,,,,,
4,BRADFORD,2002420,INTEG SCI 2,,,,,,,,,,,,,,,,,,,,
4,BRADFORD,2002440,INTEG SCI 3,,,,,,,,,,,,,,,,,,,,
4,BRADFORD,2002480,FORC SCI 1,,,,,,,,,,,,,,,,,,,,
4,BRADFORD,2003310,PHY SCI,,,,,,,,,,,,,,,,,,,,
4,BRADFORD,2003340,CHEM 1,,,,,,,,,,,,,,,11,12,23,,0.47826087,
4,BRADFORD,2003350,CHEM 1 HON,10,12,,,,,,,,,,,,,11,12,23,1,0.47826087,0.043478261
4,BRADFORD,2003421,AP PHYSICS 1,,,,,,,,,,,,,,,,,,,,
5,BREVARD,1200310,ALG 1,753,810,187,174,192,196,19,18,,,,,78,96,1231,1297,2528,965,0.486946203,0.381724684
5,BREVARD,1200320,ALG 1 HON,629,642,51,34,111,93,40,33,,,,,60,60,894,864,1758,487,0.508532423,0.27701934
5,BREVARD,1200330,ALG 2,536,566,135,107,139,136,27,14,,,,,72,55,912,878,1790,688,0.509497207,0.384357542
5,BREVARD,1200340,ALG 2 HON,395,419,50,27,78,76,37,19,,,,,41,34,602,580,1182,368,0.509306261,0.311336717
5,BREVARD,1200370,ALG 1-A,258,360,148,184,102,125,,,,,,,37,50,549,724,1273,655,0.431264729,0.5145326
5,BREVARD,1200380,ALG 1-B,229,314,127,169,83,110,,,,,,,28,42,474,641,1115,572,0.425112108,0.513004484
5,BREVARD,1200387,FINANCIAL ALGEBRA,317,455,62,74,72,83,,11,,,,,28,43,487,667,1154,382,0.422010399,0.33102253
5,BREVARD,1200390,IB MYP ALG 1,28,26,,,,,,,,,,,,,37,30,67,13,0.552238806,0.194029851
5,BREVARD,1200395,IB MYP ALG 2,24,,,,,,,,,,,,,,28,17,45,,0.622222222,
5,BREVARD,1200400,INTENS MATH,,13,,10,,15,,,,,,,,,27,42,69,,0.391304348,
5,BREVARD,1200700,MATH COLL READINESS,214,232,83,80,79,70,,,,,,,35,30,417,418,835,389,0.499401198,0.465868263
5,BREVARD,1201315,ANALYSIS OF FUNC HON,53,64,,,,,,,,,,,,,72,76,148,31,0.486486486,0.209459459
5,BREVARD,1202300,CALCULUS HON,29,16,,,,,,,,,,,,,34,19,53,8,0.641509434,0.150943396
5,BREVARD,1202310,AP CALCULUS AB,130,161,,,20,21,20,14,,,,,11,10,189,211,400,109,0.4725,0.2725
5,BREVARD,1202320,AP CALCULUS BC,38,72,,,,,,,,,,,,,56,89,145,35,0.386206897,0.24137931
5,BREVARD,1202340,PRE-CALCULUS HON,355,340,40,25,77,64,28,29,,,,,36,34,537,493,1030,335,0.521359223,0.325242718
5,BREVARD,1202352,AICE MATH 1 AS,12,14,,,,,,,,,,,,,17,22,39,13,0.435897436,0.333333333
5,BREVARD,1202362,AICE MA&PR&ST 1 AS,35,17,,,,,,,,,,,,,45,27,72,20,0.625,0.277777778
5,BREVARD,1202364,AICE MA&PR&ST 2 AL,22,15,,,,,,,,,,,,,28,30,58,21,0.482758621,0.362068966
5,BREVARD,1202375,IB PRE-CALCULUS,14,31,,,,,,,,,,,,,25,40,65,20,0.384615385,0.307692308
5,BREVARD,1202810,IB CALCULUS/DESC STA,15,12,,,,,,,,,,,,,18,18,36,9,0.5,0.25
5,BREVARD,1202830,IB ADV CALCULUS,,,,,,,,,,,,,,,,,,,,
5,BREVARD,1204000,M/J INTENS MATH (MC),80,67,61,61,44,40,,,,,,,14,16,202,187,389,242,0.519280206,0.622107969
5,BREVARD,1205010,M/J GRADE 6 MATH,1557,1631,381,386,361,357,58,61,,,,,193,212,2565,2661,5226,2038,0.490815155,0.389973211
5,BREVARD,1205020,M/J GRADE 6 MATH ADV,46,50,,,,,,,,,,,,,54,67,121,25,0.446280992,0.20661157
5,BREVARD,1205040,M/J GRADE 7 MATH,514,576,238,304,201,195,,,,,,,73,85,1036,1174,2210,1120,0.468778281,0.50678733
5,BREVARD,1205050,M/J GRADE 7 MATH ADV,856,800,126,99,152,166,35,24,,,,,86,68,1259,1160,2419,763,0.520463001,0.315419595
5,BREVARD,1205070,M/J GRADE 8 PRE-ALG,683,722,299,299,246,294,19,,,,,,100,106,1356,1438,2794,1389,0.485325698,0.497136722
5,BREVARD,1205100,M/J IB MYP PRE-ALGEB,56,39,,,,,,,,,,,,,72,51,123,28,0.585365854,0.227642276
5,BREVARD,1206310,GEO,856,963,290,313,283,299,13,20,,,,,109,115,1557,1720,3277,1458,0.475129692,0.444919133
5,BREVARD,1206320,GEO HON,623,559,54,33,90,64,23,43,,,,,65,48,856,752,1608,426,0.532338308,0.264925373
5,BREVARD,1206810,IB MYP GEOM,30,19,,,,,,,,,,,,,40,28,68,19,0.588235294,0.279411765
5,BREVARD,1207300,LIB ARTS MATH 1,238,390,124,162,85,101,,,,,,,40,48,491,708,1199,571,0.409507923,0.476230192
5,BREVARD,1207310,LIB ARTS MATH 2,309,415,115,111,86,120,,,,,,,42,70,557,725,1282,558,0.434477379,0.43525741
5,BREVARD,1209800,IB MATH STUDIES,,,,,,,,,,,,,,,,,13,,,
5,BREVARD,1209810,PRE-AICE MATH 1 IG,,,,,,,,,,,,,,,16,9,25,,0.64,
5,BREVARD,1209820,PRE-AICE MATH 2 IG,64,42,14,,11,,,,,,,,11,,101,63,164,58,0.615853659,0.353658537
5,BREVARD,1209825,PRE-AICE MATH 3 IG,63,43,,,,10,,,,,,,,,92,65,157,51,0.585987261,0.324840764
5,BREVARD,1209830,IB MATH HL 1,,,,,,,,,,,,,,,,,,,,
5,BREVARD,1210300,"PROB, STAT W/APPLS H",103,109,14,13,27,30,,,,,,,,,151,168,319,107,0.473354232,0.335423197
5,BREVARD,1210310,IB STAT/INT DIFF CAL,13,,,,,,,,,,,,,,20,13,33,,0.606060606,
5,BREVARD,1210320,AP STAT,134,130,13,,25,16,21,16,,,,,,14,201,177,378,114,0.531746032,0.301587302
5,BREVARD,1211300,TRIG HON,15,13,,,,,,,,,,,,,20,16,36,8,0.555555556,0.222222222
5,BREVARD,1298310,ADV TOPICS IN MATH,297,329,67,46,94,68,14,14,,,,,37,37,511,496,1007,381,0.507447865,0.378351539
5,BREVARD,2000310,BIO 1,406,469,110,95,120,113,10,,,,,,44,75,694,765,1459,584,0.475668266,0.40027416
5,BREVARD,2000320,BIO 1 HON,800,737,87,64,146,115,32,37,,,,,74,61,1139,1019,2158,621,0.527803522,0.28776645
5,BREVARD,2000321,AICE BIO 1 AS,25,,,,,,,,,,,,,,39,15,54,,0.722222222,
5,BREVARD,2000322,PRE-AICE BIO IG,96,74,38,19,35,21,,11,,,,,22,,196,132,328,158,0.597560976,0.481707317
5,BREVARD,2000323,AICE BIO 2 AL,,,,,,,,,,,,,,,,,10,,,
5,BREVARD,2000330,BIO 2 HON,31,19,,,12,,,,,,,,,,56,32,88,38,0.636363636,0.431818182
5,BREVARD,2000340,AP BIO,107,70,,,26,17,,11,,,,,10,,159,106,265,88,0.6,0.332075472
5,BREVARD,2000350,ANAT PHYSIO,71,49,30,16,24,13,,,,,,,16,,141,85,226,106,0.623893805,0.469026549
5,BREVARD,2000360,ANAT PHYSIO HON,310,180,55,24,79,43,15,,,,,,34,28,495,282,777,287,0.637065637,0.369369369
5,BREVARD,2000370,BOTANY,,,,,,,,,,,,,,,,,,,,
5,BREVARD,2000380,ECOLOGY,13,25,,,,,,,,,,,,,18,32,50,12,0.36,0.24
5,BREVARD,2000410,ZOOLOGY,55,50,,13,16,,,,,,,,,,82,79,161,56,0.50931677,0.347826087
5,BREVARD,2000430,BIOTECH,,,,,,,,,,,,,,,12,8,20,,0.6,
5,BREVARD,2000800,FL PRE-IB BIO 1,25,,,,,,,,,,,,,,36,13,49,,0.734693878,
5,BREVARD,2000805,IB BIOLOGY 1,,,,,,,,,,,,,,,10,2,12,,0.833333333,
5,BREVARD,2000810,IB BIOLOGY 2,,,,,,,,,,,,,,,,,,,,
5,BREVARD,2000820,IB BIOLOGY 3,14,,,,,,,,,,,,,,26,15,41,,0.634146341,
5,BREVARD,2000850,IB MYP BIOLOGY,35,17,,,,,,,,,,,,,43,25,68,16,0.632352941,0.235294118
5,BREVARD,2001310,ERTH/SPA SCI,12,25,,,,,,,,,,,,,24,43,67,30,0.358208955,0.447761194
5,BREVARD,2001320,ERTH/SPA SCI HON,,,,,,,,,,,,,,,,,,,,
5,BREVARD,2001340,ENV SCI,39,50,,,,,,,,,,,,,55,69,124,35,0.443548387,0.282258065
5,BREVARD,2001375,IB ENV SYS & SOC 2,,13,,,,,,,,,,,,,10,16,26,,0.384615385,
5,BREVARD,2001380,AP ENV SCI,76,66,,,18,11,,,,,,,,,112,87,199,57,0.56281407,0.286432161
5,BREVARD,2001381,AICE ENV MGMNT AS,22,15,,,,,,,,,,,,,35,30,65,28,0.538461538,0.430769231
5,BREVARD,2002040,M/J COMPRE SCI 1,1551,1638,381,385,360,358,59,60,,,,,193,212,2559,2667,5226,2037,0.489667049,0.38978186
5,BREVARD,2002050,M/J COMPRE SCI 1 ADV,49,43,,,,,,,,,,,,,57,59,116,24,0.49137931,0.206896552
5,BREVARD,2002070,M/J COMPRE SCI 2,628,704,276,328,217,244,12,10,,,,,78,96,1213,1386,2599,1267,0.466717968,0.48749519
5,BREVARD,2002080,M/J COMPRE SCI 2 ADV,866,827,110,84,158,155,42,31,,,,,97,75,1278,1179,2457,764,0.52014652,0.310948311
5,BREVARD,2002085,M/J COMPSCI2 ACC HON,,13,,,,,,,,,,,,,15,23,38,,0.394736842,
5,BREVARD,2002086,M/J SCI 2 CAMB SEC 1,118,75,,,15,14,,,,,,,,,149,108,257,64,0.579766537,0.249027237
5,BREVARD,2002090,M/J IB MYP COMP SCI2,66,59,,,,,,,,,,,,,83,76,159,34,0.522012579,0.213836478
5,BREVARD,2002100,M/J COMPRE SCI 3,466,613,253,249,184,244,11,,,,,,64,79,983,1196,2179,1100,0.451124369,0.504818724
5,BREVARD,2002110,M/J COMPRE SCI 3 ADV,942,890,133,104,197,156,32,35,,,,,100,88,1410,1279,2689,857,0.524358498,0.318705839
5,BREVARD,2002115,M/J SCI 3 CAMB SEC 1,118,100,10,,17,10,,,,,,,17,,168,131,299,81,0.56187291,0.27090301
5,BREVARD,2002120,M/J IB MYP COMP SCI3,30,28,,,,,,,,,,,,,41,36,77,19,0.532467532,0.246753247
5,BREVARD,2002200,M/J STEM ENV SCI,11,10,,,,,,,,,,,,,26,24,50,29,0.52,0.58
5,BREVARD,2002340,EXP SCI 1 HON,44,56,,,,10,,,,,,,,,55,83,138,38,0.398550725,0.275362319
5,BREVARD,2002350,EXP SCI 2 HON,14,23,,,,,,,,,,,,,21,31,52,15,0.403846154,0.288461538
5,BREVARD,2002360,EXP SCI 3 HON,,16,,,,,,,,,,,,,13,23,36,,0.361111111,
5,BREVARD,2002370,EXP SCI 4 HON,10,,,,,,,,,,,,,,15,12,27,,0.555555556,
